playerId,articleId
00-0032098,1
00-0032804,9
00-0024313,9
00-0034343,19
00-0034857,19
00-0036442,19
00-0025465,19
00-0037248,19
00-0030216,19
00-0038589,19
00-0033106,21
00-0019596,32
00-0019596,33
00-0033881,34
00-0023459,35
00-0030151,35
00-0031782,35
00-0019596,36
00-0036900,38
00-0027702,39
00-0032250,39
00-0033536,39
00-0036657,39
00-0031055,39
00-0032152,39
00-0034995,39
00-0036950,39
00-0037840,39
00-0030300,41
00-0031051,41
00-0034339,44
00-0033873,48
00-0033375,48
00-0033748,48
00-0035973,48
00-0022924,51
00-0035251,52
00-0031235,55
00-0019596,59
00-0036857,60
00-0031051,63
00-0031118,63
00-0033591,63
00-0033994,63
00-0027094,63
00-0029429,63
00-0038597,63
00-0033040,64
00-0033594,64
00-0024324,65
00-0029271,65
00-0029614,65
00-0031381,65
00-0033921,65
00-0029438,65
00-0034855,69
00-0036972,70
00-0033891,70
00-0031939,70
00-0033873,71
00-0033375,71
00-0035973,71
00-0023459,73
00-0031782,73
00-0036991,73
00-0033293,73
00-0037168,73
00-0031345,76
00-0035251,88
00-0031782,89
00-0030391,90
00-0023500,91
00-0038563,95
00-0034184,97
00-0030391,105
00-0030151,112
00-0033873,113
00-0034343,113
00-0034857,113
00-0035973,113
00-0030216,113
00-0038589,113
00-0026498,115
00-0033662,115
00-0033908,115
00-0028170,116
00-0023459,119
00-0031782,119
00-0036991,119
00-0033293,119
00-0033748,119
00-0037168,119
00-0027942,130
00-0031051,130
00-0032926,130
00-0035676,130
00-0023459,142
00-0031782,142
00-0036991,142
00-0033293,142
00-0037168,142
00-0019596,146
00-0025409,146
00-0031345,151
00-0033873,152
00-0034343,152
00-0034857,152
00-0033375,152
00-0035973,152
00-0030216,152
00-0038589,152
00-0027003,153
00-0027450,159
00-0038563,161
00-0027675,162
00-0027985,162
00-0036389,166
00-0039150,166
00-0023500,166
00-0027890,166
00-0029429,166
00-0025465,174
00-0037745,174
00-0035719,175
00-0023310,177
00-0032540,179
00-0035860,179
00-0019596,180
00-0033873,183
00-0033375,183
00-0035973,183
00-0033537,186
00-0034621,186
00-0032004,186
00-0036442,192
00-0036312,194
00-0033106,195
00-0036309,196
00-0010346,201
00-0019596,201
00-0022803,201
00-0030151,203
00-0035228,203
00-0030181,203
00-0035251,204
00-0032707,204
00-0032728,204
00-0035537,204
00-0035860,204
00-0036196,207
00-0032063,207
00-0032004,213
00-0035480,218
00-0030506,219
00-0024318,221
00-0035719,225
00-0023682,230
00-0036627,230
00-0037306,230
00-0022803,234
00-0036442,237
00-0031051,237
00-0036442,238
00-0031051,238
00-0034343,239
00-0034857,239
00-0033748,239
00-0030216,239
00-0035689,239
00-0038589,239
00-0030151,241
00-0036442,241
00-0031051,241
00-0033009,241
00-0037085,241
00-0030743,243
00-0037257,243
00-0026941,243
00-0023436,245
00-0030565,245
00-0020337,245
00-0024318,245
00-0033857,245
00-0035510,245
00-0034378,245
00-0028097,245
00-0034988,245
00-0031076,246
00-0033550,246
00-0036898,246
00-0039074,246
00-0030151,247
00-0035228,247
00-0033911,247
00-0039062,247
00-0027786,247
00-0030282,247
00-0035924,247
00-0036223,247
00-0033662,248
00-0033908,248
00-0032540,249
00-0024389,251
00-0037614,253
00-0027893,257
00-0032250,257
00-0033933,257
00-0037240,257
00-0027976,257
00-0030874,257
00-0032152,257
00-0033948,257
00-0034427,257
00-0031558,257
00-0030550,262
00-0031053,262
00-0035243,262
00-0036360,263
00-0032707,265
00-0033293,265
00-0035860,265
00-0022924,266
00-0025465,268
00-0019596,270
00-0031588,274
00-0032423,274
00-0032115,276
00-0032250,279
00-0031055,279
00-0032152,279
00-0034301,279
00-0034427,279
00-0034995,279
00-0036950,279
00-0037840,279
00-0029239,283
00-0036389,295
00-0030821,295
00-0034830,295
00-0030578,297
00-0035664,297
00-0036755,297
00-0027688,302
00-0028009,304
00-0027349,308
00-0027702,308
00-0030542,308
00-0032160,308
00-0032250,308
00-0033536,308
00-0035350,308
00-0036657,308
00-0027976,308
00-0030117,308
00-0030874,308
00-0031055,308
00-0034301,308
00-0034995,308
00-0035291,308
00-0036457,308
00-0036950,308
00-0037840,308
00-0034855,311
00-0034686,313
00-0027893,315
00-0032250,315
00-0033933,315
00-0027976,315
00-0030874,315
00-0033948,315
00-0034427,315
00-0031558,315
00-0023436,316
00-0030565,316
00-0031280,316
00-0031934,316
00-0035510,316
00-0026204,316
00-0031900,316
00-0034378,316
00-0028097,316
00-0034988,316
00-0030524,321
00-0032707,321
00-0033891,321
00-0031939,321
00-0035860,321
00-0032250,328
00-0027976,328
00-0031055,328
00-0032152,328
00-0034301,328
00-0034427,328
00-0034995,328
00-0036950,328
00-0037840,328
00-0024318,330
00-0019596,334
00-0032937,337
00-0024318,338
00-0028097,338
00-0035022,341
00-0035676,341
00-0036963,341
00-0036309,354
00-0031939,354
00-0033662,360
00-0033908,360
00-0033911,360
00-0035432,360
00-0039062,360
00-0027786,360
00-0030282,360
00-0035924,360
00-0036223,360
00-0033627,360
00-0019596,364
00-0022924,371
00-0036482,373
00-0038563,378
00-0026158,382
00-0038598,389
00-0035719,389
00-0026937,391
00-0033573,391
00-0036328,391
00-0034857,394
00-0025425,394
00-0027125,394
00-0033627,395
00-0032160,396
00-0036657,396
00-0035291,396
00-0036457,396
00-0035644,397
00-0036971,398
00-0037012,398
00-0024204,398
00-0032636,398
00-0036493,398
00-0036145,398
00-0029604,399
00-0030565,399
00-0036322,399
00-0036415,399
00-0036635,399
00-0031900,399
00-0034115,399
00-0034378,399
00-0030513,400
00-0023367,401
00-0034676,401
00-0024332,401
00-0032450,401
00-0031345,409
00-0034796,409
00-0024324,409
00-0024204,409
00-0032636,409
00-0036970,409
00-0031345,410
00-0028034,417
00-0033748,417
00-0019596,421
00-0025409,421
00-0029104,421
00-0026300,423
00-0030113,423
00-0032980,423
00-0035287,423
00-0036427,423
00-0026164,423
00-0032257,423
00-0035537,423
00-0035251,427
00-0024318,427
00-0030288,431
00-0022177,436
00-0035022,437
00-0019596,441
00-0023459,441
00-0031782,441
00-0036991,441
00-0033293,441
00-0037168,441
00-0035251,448
00-0023367,450
00-0034676,450
00-0038606,450
00-0024332,450
00-0032450,450
00-0032940,450
00-0038558,450
00-0023459,451
00-0031782,451
00-0036991,451
00-0033293,451
00-0037168,451
00-0037304,451
00-0036442,452
00-0033591,459
00-0033994,459
00-0032048,459
00-0038597,459
00-0034597,463
00-0033106,465
00-0031390,468
00-0026176,476
00-0030348,476
00-0031611,476
00-0035831,476
00-0037525,476
00-0027675,478
00-0036972,481
00-0033891,481
00-0031939,481
00-0033748,483
00-0036414,483
00-0036264,489
00-0029638,489
00-0032765,489
00-0032974,489
00-0038559,489
00-0022821,489
00-0030128,489
00-0037525,489
00-0028040,489
00-0031044,489
00-0037282,489
00-0036442,493
00-0033897,493
00-0038618,495
00-0030300,506
00-0031051,506
00-0033591,506
00-0033994,506
00-0027094,506
00-0032048,506
00-0030151,507
00-0035228,507
00-0026195,532
00-0031782,535
00-0036251,535
00-0027702,536
00-0027893,536
00-0032250,536
00-0033536,536
00-0034426,536
00-0035350,536
00-0035401,536
00-0036657,536
00-0037240,536
00-0027976,536
00-0030874,536
00-0031055,536
00-0031062,536
00-0032152,536
00-0032975,536
00-0033948,536
00-0034301,536
00-0035291,536
00-0036457,536
00-0036950,536
00-0036997,536
00-0037840,536
00-0032004,537
00-0034193,537
00-0034855,540
00-0033994,540
00-0022803,541
00-0023459,541
00-0031782,541
00-0036991,541
00-0033293,541
00-0037168,541
00-0034855,552
00-0030300,552
00-0031051,552
00-0033591,552
00-0033994,552
00-0036439,552
00-0027094,552
00-0032048,552
00-0037077,559
00-0028736,559
00-0038598,560
00-0032764,562
00-0035715,562
00-0038563,563
00-0031166,566
00-0023367,569
00-0030897,569
00-0034676,569
00-0038606,569
00-0024332,569
00-0032450,569
00-0032940,569
00-0026314,572
00-0035022,574
00-0035640,574
